Participante,Data/Hora do Envio,Q1_PapelAtual,Q2_LinguagensMaisUsadas,Q3_ComoAprendeu,Q4_AmbientePreferido,Q5_FerramentasPlataformas,Q6_UsoDeIA,Q7_Motivacao,Q8_Desafios,Q9_TecnologiasParaAprender,Q10_PorQueContinua
LK49IE,2024-09-25 18:32:45,DevOps/Infra,Dart; SQL; Rust; C++,Projetos pessoais; Tutoriais YouTube,Laboratório; Governo,AWS; Vim/Neovim; Jupyter,Uso raramente,Criatividade; Estabilidade,Falta de requisitos; Ferramentas novas; Teste/QA; Escalabilidade,Cloud AWS; Flutter; Rust; DevOps; React,Pesquisa; Empreender
LC64YW,2024-09-05 18:38:39,Empreendedor,TypeScript; Swift; Kotlin; SQL,Blogs/Artigos; Cursos presenciais; Outros; Graduação; Documentação oficial,Freelancer; Times grandes; Consultoria,GitHub; Vim/Neovim; Azure; GCP,Uso para documentação,Ensinar; Pesquisa; Inovação; Criatividade,Infraestrutura; Débito técnico; Segurança; Gerenciar tempo; Documentação,Kotlin; Cloud GCP; Flutter,Boas oportunidades; Mercado aquecido
BY92ND,2024-07-09 11:15:30,Pesquisador,Rust; PHP; Kotlin; Dart,Projetos pessoais; Cursos presenciais; Trabalho/Prática,Startup; Remoto,IntelliJ; Vim/Neovim; Eclipse,Uso semanalmente,Autonomia; Criatividade; Carreira,Escalabilidade; Teste/QA; Infraestrutura,Go; Cloud GCP,Impacto social; Comunidade; Mercado aquecido; Reconhecimento
CN25AS,2024-12-28 23:36:51,Cientista de Dados,Rust; Ruby; Java; Python; JavaScript,Trabalho/Prática; Bootcamp,Presencial; Times pequenos; Times grandes,GitHub; VS Code; Figma,Uso semanalmente,Propósito; Dinheiro; Ensinar,Falta de requisitos; Ferramentas novas; Gerenciar tempo,Cloud Azure; Swift; Cloud AWS; IA/ML; Data Science,Crescimento pessoal; Comunidade; Ensinar
SB76KN,2024-07-01 14:40:03,Professor,JavaScript; SQL; TypeScript; C++; Rust,Projetos pessoais; Hackathons,Open source; Times grandes,Vim/Neovim; GitLab,Uso para documentação,Criatividade; Comunidade,Infraestrutura; Documentação; Complexidade do código; Segurança; Débito técnico,React; Node.js; Swift; Data Science,Crescimento pessoal; Impacto social; Comunidade
PP82NK,2024-07-31 02:38:18,Produto/PO,Python; Dart; Kotlin; Go,Cursos presenciais; Mentoria; Livros; Projetos pessoais,Presencial; Multinacional,Kubernetes; AWS; PyCharm; Bitbucket,Outro,Dinheiro; Pesquisa,Deploy; Dados ruins,Swift; IA/ML; DevOps; Go,Flexibilidade; Reconhecimento
BA12FP,2024-10-24 07:16:56,Cientista de Dados,Python; C#,Bootcamp; Graduação; Pós-graduação,Multinacional; Presencial; Freelancer; Academia,IntelliJ; Eclipse; VS Code,Uso semanalmente,Ensinar; Resolver problemas; Aprender; Estabilidade,Infraestrutura; Deploy; Documentação,DevOps; Cloud Azure,Flexibilidade; Boas oportunidades; Crescimento pessoal; Ensinar
EM18ML,2024-10-02 08:37:50,QA/Testes,Go; Dart; JavaScript; Ruby; Java,Documentação oficial; Cursos presenciais,Times pequenos; Empresa grande; Presencial,GitHub; AWS; Vim/Neovim,Uso para ideias,Autonomia; Aprender; Reconhecimento,Infraestrutura; Complexidade do código; Comunicação,Kotlin; Data Science; DevOps; IA/ML; Cloud GCP,Impacto social; Crescimento pessoal
FS58UC,2024-10-27 08:41:39,Desenvolvedor Pleno,C#; Go; C++; Python,Comunidades/Fóruns; Trabalho/Prática,Open source; Presencial; Times grandes,Jupyter; Azure; Docker; GCP,Uso para ideias,Criatividade; Desafio,Deploy; Bugs difíceis,Cloud AWS; Kubernetes,Crescimento pessoal; Reconhecimento; Comunidade; Curiosidade; Mercado aquecido
JH36AQ,2024-03-05 18:04:34,Produto/PO,Kotlin; TypeScript; R; Python,Comunidades/Fóruns; Projetos pessoais; Livros; Pós-graduação,Times grandes; Academia; Presencial; Laboratório; Governo,PyCharm; Docker,Uso diariamente,Resolver problemas; Autonomia; Carreira,Segurança; Débito técnico; Documentação,Go; Kubernetes; DevOps; Cloud Azure; Node.js,Crescimento pessoal; Ensinar; Reconhecimento; Comunidade
EC95CO,2024-08-01 08:27:32,Cientista de Dados,Java; Ruby; SQL; C++,Graduação; Cursos presenciais; Bootcamp,Academia; Open source; Remoto; Presencial,Kubernetes; GCP,Nunca uso,Comunidade; Aprender,Infraestrutura; Dados ruins,Flutter; Swift; Node.js,Trabalho remoto; Crescimento pessoal; Desafios; Empreender; Boas oportunidades
CG76LM,2024-10-30 23:27:01,Empreendedor,Ruby; Dart,Pós-graduação; Blogs/Artigos; Mentoria,Startup; Híbrido; Presencial,VS Code; Vim/Neovim; Eclipse; IntelliJ; Docker,Nunca uso,Resolver problemas; Propósito; Aprender,Infraestrutura; Mudanças constantes; Falta de requisitos; Escalabilidade; Deploy,Cloud Azure; DevOps; Kubernetes,Paixão; Remuneração; Impacto social; Comunidade; Reconhecimento
BY89QL,2024-07-11 11:31:14,Estudante,Swift; Dart; TypeScript; Rust,Projetos pessoais; Tutoriais YouTube; Blogs/Artigos; Graduação,Laboratório; Presencial; Clima flexível; Academia,Eclipse; Bitbucket; Figma; Vim/Neovim; IntelliJ,Treino modelos,Ensinar; Aprender; Reconhecimento; Comunidade; Desafio,Infraestrutura; Comunicação; Falta de requisitos,DevOps; Kotlin; Data Science,Empreender; Crescimento pessoal; Curiosidade; Remuneração; Boas oportunidades
AM08BL,2024-04-22 06:21:17,Desenvolvedor Pleno,JavaScript; C++; Java; R; Ruby,Tutoriais YouTube; Hackathons; Cursos online,Clima flexível; Times grandes; Academia; Híbrido; Governo,Jupyter; Vim/Neovim; GCP; Eclipse; Kubernetes,Uso diariamente,Propósito; Pesquisa; Comunidade; Carreira,Ferramentas novas; Comunicação; Dados ruins,IA/ML; React; Cloud Azure,Impacto social; Boas oportunidades; Remuneração; Ensinar; Comunidade
ZW57UH,2024-08-06 07:30:36,Professor,TypeScript; JavaScript,Cursos online; Pós-graduação; Bootcamp,Times pequenos; Consultoria; Híbrido; Open source; Freelancer,Jupyter; Figma; AWS; GitLab,Outro,Criatividade; Aprender; Comunidade; Resolver problemas,Segurança; Deploy; Teste/QA; Comunicação,React; Cloud GCP; DevOps,Comunidade; Remuneração; Flexibilidade; Pesquisa
EQ44XQ,2024-03-08 13:00:06,Pesquisador,C++; Rust; Ruby,Comunidades/Fóruns; Mentoria; Pós-graduação,Consultoria; Times grandes; Governo; Freelancer,Figma; AWS; IntelliJ,Uso com copilotos,Propósito; Ensinar,Segurança; Gerenciar tempo; Bugs difíceis; Infraestrutura,Cloud AWS; Flutter,Crescimento pessoal; Paixão; Remuneração; Mercado aquecido; Impacto social
CM83QL,2024-01-05 12:08:32,Estagiário,JavaScript; Dart,Trabalho/Prática; Outros; Comunidades/Fóruns; Pós-graduação; Cursos online,Empresa grande; Multinacional; Times pequenos; Híbrido; Governo,Docker; Kubernetes; GCP,Uso em produção,Carreira; Autonomia; Impacto; Resolver problemas; Criatividade,Escalabilidade; Segurança,Kubernetes; Node.js; Flutter,Impacto social; Remuneração
PM64MK,2024-11-08 10:31:30,DevOps/Infra,C++; TypeScript; Python; Java,Pós-graduação; Bootcamp; Trabalho/Prática; Cursos presenciais; Documentação oficial,Empresa grande; Times pequenos,GitLab; Vim/Neovim,Outro,Resolver problemas; Ensinar; Propósito,Gerenciar tempo; Mudanças constantes; Comunicação; Bugs difíceis,Kotlin; DevOps; Cloud GCP,Pesquisa; Empreender; Ensinar; Comunidade
MF18AB,2024-08-10 17:16:54,Produto/PO,Java; Swift; Rust,Outros; Mentoria,Remoto; Presencial; Empresa grande,AWS; Docker; Azure,Uso para ideias,Ensinar; Desafio,Complexidade do código; Comunicação; Ferramentas novas; Teste/QA,Node.js; Rust; Cloud AWS; Cloud Azure; Kubernetes,Ensinar; Trabalho remoto; Reconhecimento
HY44BA,2024-02-07 20:05:52,Empreendedor,Go; JavaScript; Java; Kotlin,Blogs/Artigos; Projetos pessoais,Freelancer; Multinacional,Kubernetes; PyCharm,Uso diariamente,Comunidade; Pesquisa,Comunicação; Gerenciar tempo,Flutter; Cloud Azure; DevOps; Data Science; IA/ML,Crescimento pessoal; Remuneração; Desafios; Flexibilidade
LV65HP,2024-09-27 00:35:38,Desenvolvedor Pleno,PHP; Java; TypeScript; Dart; C++,Mentoria; Hackathons; Pós-graduação; Documentação oficial; Tutoriais YouTube,Times pequenos; Clima flexível; Laboratório; Freelancer,Figma; Azure,Uso diariamente,Estabilidade; Inovação; Reconhecimento,Escalabilidade; Ferramentas novas,Rust; React; Cloud GCP,Empreender; Reconhecimento
ET57IM,2024-07-15 22:55:18,Analista de Dados,Python; Dart; Kotlin; R; Ruby,Outros; Pós-graduação; Tutoriais YouTube; Documentação oficial,Híbrido; Freelancer; Multinacional; Academia,AWS; IntelliJ; Docker; GitLab,Uso para ideias,Dinheiro; Comunidade,Documentação; Falta de requisitos; Mudanças constantes,DevOps; Blockchain; Kotlin,Crescimento pessoal; Desafios
QQ99FS,2024-03-06 12:55:10,Estudante,Kotlin; TypeScript; Dart; C++; Java,Documentação oficial; Graduação,Remoto; Multinacional,GitLab; Kubernetes; GCP; Bitbucket; PyCharm,Uso diariamente,Dinheiro; Propósito; Inovação,Falta de requisitos; Escalabilidade; Ferramentas novas; Infraestrutura,Kubernetes; Node.js; Cloud Azure,Empreender; Desafios; Pesquisa
GI43WH,2024-11-19 02:05:46,Analista de Dados,R; JavaScript; Go; Python,Documentação oficial; Pós-graduação,Clima flexível; Consultoria,GitLab; VS Code,Uso diariamente,Propósito; Aprender; Autonomia,Comunicação; Débito técnico; Ferramentas novas,Swift; Cloud Azure,Pesquisa; Desafios; Ensinar; Crescimento pessoal; Mercado aquecido
WW82DW,2024-12-27 16:44:03,Outro,C#; Dart; R; Python; Java,Projetos pessoais; Outros,Laboratório; Multinacional; Remoto,Jupyter; VS Code; GitHub; PyCharm; GCP,Uso para ideias,Pesquisa; Propósito,Gerenciar tempo; Débito técnico; Bugs difíceis,Data Science; Cloud Azure; Blockchain,Trabalho remoto; Empreender
IC44VR,2024-07-04 17:33:59,Empreendedor,Swift; SQL; Java; JavaScript; R,Blogs/Artigos; Graduação,Laboratório; Governo,GitLab; Azure; GCP; Kubernetes; IntelliJ,Uso para ideias,Inovação; Criatividade; Autonomia; Aprender; Estabilidade,Ferramentas novas; Dados ruins; Complexidade do código,Rust; IA/ML; Data Science; Cloud GCP; Kotlin,Paixão; Pesquisa; Comunidade; Remuneração
BY90PV,2024-07-17 08:57:54,Pesquisador,C#; TypeScript; Kotlin; Python,Tutoriais YouTube; Hackathons; Trabalho/Prática,Híbrido; Startup,AWS; GitHub; PyCharm; Figma; VS Code,Uso para ideias,Estabilidade; Reconhecimento; Propósito; Pesquisa; Criatividade,Comunicação; Segurança; Teste/QA; Falta de requisitos,DevOps; Cloud Azure; React,Boas oportunidades; Flexibilidade; Crescimento pessoal; Pesquisa
ES43EM,2024-01-03 04:13:06,Desenvolvedor Sênior,C#; Ruby; JavaScript,Documentação oficial; Cursos presenciais; Cursos online; Mentoria; Livros,Híbrido; Freelancer; Consultoria,Jupyter; GCP; VS Code,Outro,Carreira; Ensinar; Comunidade,Bugs difíceis; Teste/QA; Documentação; Infraestrutura,Go; Blockchain; Kotlin; React,Curiosidade; Trabalho remoto; Mercado aquecido
HS72IP,2024-12-12 08:23:21,Outro,Dart; Kotlin; Python,Cursos online; Outros; Livros; Projetos pessoais; Comunidades/Fóruns,Laboratório; Academia,Kubernetes; GitLab; Bitbucket; GitHub; PyCharm,Uso para depurar,Dinheiro; Resolver problemas; Reconhecimento; Aprender; Comunidade,Débito técnico; Bugs difíceis; Falta de requisitos,Kotlin; Data Science; IA/ML,Comunidade; Desafios; Mercado aquecido; Pesquisa; Flexibilidade
XM50SS,2024-12-24 04:33:38,Estagiário,TypeScript; Ruby; PHP; C#; Kotlin,Cursos online; Documentação oficial; Bootcamp; Comunidades/Fóruns; Livros,Governo; Laboratório; Híbrido,GCP; IntelliJ,Uso para ideias,Ensinar; Reconhecimento,Complexidade do código; Mudanças constantes; Débito técnico; Ferramentas novas; Falta de requisitos,React; Go; Kotlin; Flutter; IA/ML,Trabalho remoto; Curiosidade; Pesquisa; Remuneração
TA32NO,2024-10-24 20:49:37,Cientista de Dados,Java; Dart; PHP; Rust; TypeScript,Cursos online; Documentação oficial; Hackathons; Mentoria; Comunidades/Fóruns,Clima flexível; Times grandes; Open source; Academia; Times pequenos,Vim/Neovim; Bitbucket; IntelliJ; GitLab,Uso para depurar,Reconhecimento; Criatividade; Desafio; Estabilidade,Mudanças constantes; Deploy; Bugs difíceis; Escalabilidade,DevOps; React; Blockchain; Flutter; Swift,Mercado aquecido; Remuneração; Reconhecimento; Desafios
UK16MP,2024-09-27 19:49:00,Estagiário,R; Swift; SQL,Comunidades/Fóruns; Hackathons; Livros; Tutoriais YouTube; Documentação oficial,Startup; Remoto; Times pequenos; Open source,VS Code; Azure; Jupyter,Nunca uso,Estabilidade; Criatividade; Comunidade; Desafio,Bugs difíceis; Segurança,Data Science; Cloud AWS; Blockchain; Swift; Go,Trabalho remoto; Mercado aquecido
MY84JF,2024-12-24 01:31:32,QA/Testes,Python; JavaScript; Java,Cursos online; Outros; Comunidades/Fóruns; Pós-graduação,Remoto; Open source; Laboratório; Freelancer,Jupyter; Azure; Figma; Vim/Neovim; GitLab,Nunca uso,Ensinar; Pesquisa,Infraestrutura; Documentação; Mudanças constantes; Gerenciar tempo; Deploy,Cloud AWS; Node.js,Crescimento pessoal; Comunidade; Pesquisa; Flexibilidade; Empreender
CS49UH,2024-11-08 21:24:52,Pesquisador,Ruby; TypeScript; Java; Kotlin; Dart,Graduação; Pós-graduação,Open source; Times pequenos; Academia; Freelancer,Figma; Azure,Treino modelos,Resolver problemas; Aprender; Comunidade; Estabilidade; Carreira,Débito técnico; Mudanças constantes; Ferramentas novas; Escalabilidade; Teste/QA,Cloud Azure; Cloud AWS; Kubernetes,Remuneração; Flexibilidade; Paixão; Desafios
OQ32UK,2024-06-25 03:20:15,Estagiário,Java; Go,Livros; Outros; Pós-graduação; Documentação oficial; Mentoria,Freelancer; Times pequenos; Multinacional,GitHub; Bitbucket; Jupyter; Docker,Uso semanalmente,Reconhecimento; Ensinar; Resolver problemas; Criatividade,Ferramentas novas; Complexidade do código; Falta de requisitos,Cloud Azure; Cloud AWS; Data Science; IA/ML; Cloud GCP,Empreender; Trabalho remoto; Impacto social; Boas oportunidades; Mercado aquecido
GH01MI,2024-09-13 02:15:39,Desenvolvedor Sênior,Kotlin; Dart; PHP,Tutoriais YouTube; Graduação; Cursos online; Documentação oficial,Clima flexível; Startup; Multinacional,Vim/Neovim; Bitbucket; Jupyter; IntelliJ; GCP,Uso em produção,Ensinar; Pesquisa; Propósito; Inovação,Documentação; Falta de requisitos; Ferramentas novas; Mudanças constantes,Cloud AWS; Kotlin,Empreender; Desafios
GD94UB,2024-01-23 18:25:01,Outro,SQL; R; Swift; Ruby; Kotlin,Blogs/Artigos; Comunidades/Fóruns,Consultoria; Times grandes,Figma; AWS; Azure; GitLab,Uso em produção,Inovação; Reconhecimento; Estabilidade; Dinheiro; Carreira,Débito técnico; Ferramentas novas; Documentação; Comunicação,Kotlin; Kubernetes; Node.js; React,Curiosidade; Flexibilidade; Paixão; Empreender; Reconhecimento
VE70RN,2024-08-21 04:03:47,Analista de Dados,JavaScript; Python; Dart; TypeScript; Rust,Cursos presenciais; Outros; Trabalho/Prática,Times pequenos; Governo; Freelancer,VS Code; PyCharm,Uso para documentação,Autonomia; Estabilidade,Complexidade do código; Falta de requisitos; Deploy; Teste/QA,Node.js; Flutter,Paixão; Flexibilidade; Impacto social; Mercado aquecido
UX98DW,2024-04-06 23:09:38,Desenvolvedor Júnior,R; C#; SQL; Swift,Livros; Graduação; Mentoria; Trabalho/Prática; Bootcamp,Laboratório; Open source; Híbrido; Consultoria; Clima flexível,AWS; GitHub; Vim/Neovim; Bitbucket; Jupyter,Uso para depurar,Criatividade; Autonomia; Aprender; Desafio; Resolver problemas,Deploy; Dados ruins; Escalabilidade; Bugs difíceis; Complexidade do código,Cloud Azure; Kubernetes; Blockchain; Rust; Cloud GCP,Empreender; Desafios; Crescimento pessoal; Remuneração
VM60GJ,2024-08-24 12:33:37,Estudante,Dart; TypeScript; Kotlin; Swift; Rust,Projetos pessoais; Mentoria; Cursos online; Graduação,Open source; Remoto; Startup; Consultoria; Academia,Eclipse; VS Code; GitLab; Azure,Uso para testes,Autonomia; Impacto; Estabilidade,Bugs difíceis; Comunicação,Cloud AWS; Data Science,Ensinar; Impacto social; Crescimento pessoal; Comunidade
ZB16KQ,2024-12-30 03:08:42,Desenvolvedor Pleno,TypeScript; Python; SQL; Dart,Blogs/Artigos; Documentação oficial,Remoto; Startup; Consultoria; Multinacional; Freelancer,Kubernetes; Azure; Eclipse; GitHub; IntelliJ,Uso para depurar,Estabilidade; Propósito; Inovação; Ensinar; Impacto,Teste/QA; Mudanças constantes; Falta de requisitos,React; Data Science; Kubernetes; Swift; IA/ML,Curiosidade; Remuneração; Reconhecimento; Pesquisa; Mercado aquecido
UZ21RW,2024-10-15 23:04:17,QA/Testes,Rust; TypeScript; Dart; Kotlin,Tutoriais YouTube; Hackathons; Projetos pessoais,Open source; Multinacional,AWS; GitLab; Kubernetes; VS Code,Uso para gerar código,Aprender; Comunidade; Autonomia; Estabilidade,Ferramentas novas; Segurança,Blockchain; Rust; Swift; React; Cloud Azure,Empreender; Trabalho remoto; Boas oportunidades; Flexibilidade
QQ55QI,2024-05-14 19:50:35,DevOps/Infra,SQL; JavaScript; Go,Documentação oficial; Tutoriais YouTube; Bootcamp; Graduação,Remoto; Times grandes; Academia; Presencial,Vim/Neovim; Kubernetes; AWS; VS Code,Uso em produção,Inovação; Pesquisa; Carreira; Aprender; Comunidade,Teste/QA; Comunicação; Documentação; Gerenciar tempo,Cloud Azure; Kubernetes; Go; Node.js,Boas oportunidades; Mercado aquecido; Pesquisa; Ensinar; Comunidade
KO24SL,2024-01-07 16:43:07,Estagiário,C#; TypeScript; Ruby; Dart,Trabalho/Prática; Mentoria; Documentação oficial; Livros,Laboratório; Multinacional; Academia; Freelancer,GitHub; Kubernetes; Vim/Neovim; GitLab,Uso para gerar código,Resolver problemas; Desafio; Dinheiro,Complexidade do código; Escalabilidade; Mudanças constantes; Segurança,Cloud Azure; Blockchain; Flutter,Desafios; Pesquisa; Trabalho remoto; Remuneração; Ensinar
UZ21RW,2024-10-15 23:04:17,QA/Testes,Rust; TypeScript; Dart; Kotlin,Tutoriais YouTube; Hackathons; Projetos pessoais,Open source; Multinacional,AWS; GitLab; Kubernetes; VS Code,Uso para gerar código,Aprender; Comunidade; Autonomia; Estabilidade,Ferramentas novas; Segurança,Blockchain; Rust; Swift; React; Cloud Azure,Empreender; Trabalho remoto; Boas oportunidades; Flexibilidade
MO54OE,2024-01-22 15:30:27,Analista de Dados,Go; Kotlin; TypeScript; R,Hackathons; Bootcamp; Documentação oficial; Cursos online,Governo; Remoto,Bitbucket; Jupyter; Figma,Treino modelos,Inovação; Estabilidade,Infraestrutura; Complexidade do código; Dados ruins; Bugs difíceis,Kubernetes; DevOps; IA/ML; Kotlin,Boas oportunidades; Reconhecimento; Comunidade
SZ82JX,2024-12-29 20:44:51,Desenvolvedor Pleno,Rust; PHP; JavaScript; Ruby,Documentação oficial; Blogs/Artigos; Projetos pessoais,Clima flexível; Academia; Governo,PyCharm; GitLab; AWS,Uso em produção,Reconhecimento; Criatividade; Resolver problemas; Autonomia; Dinheiro,Escalabilidade; Dados ruins; Deploy; Mudanças constantes,Rust; Cloud GCP; Swift,Flexibilidade; Trabalho remoto
CA10UO,2024-12-01 17:38:29,Estagiário,Java; Swift; Ruby; SQL,Pós-graduação; Blogs/Artigos; Outros; Mentoria; Livros,Freelancer; Governo; Academia; Presencial,Kubernetes; Docker,Uso com copilotos,Propósito; Resolver problemas; Autonomia; Ensinar; Impacto,Complexidade do código; Dados ruins; Ferramentas novas; Comunicação,Swift; Go,Paixão; Boas oportunidades; Desafios; Ensinar
PO43RB,2024-02-08 16:06:13,UX/UI,Python; JavaScript; Java; Go; Ruby,Tutoriais YouTube; Pós-graduação,Times grandes; Consultoria; Empresa grande,Bitbucket; Vim/Neovim; PyCharm,Uso com copilotos,Carreira; Resolver problemas; Criatividade; Estabilidade,Gerenciar tempo; Infraestrutura; Deploy,Flutter; Blockchain; React; Cloud Azure,Comunidade; Curiosidade; Pesquisa; Empreender; Paixão
UN75JE,2024-07-26 06:02:48,Outro,C#; SQL; Python,Blogs/Artigos; Graduação; Hackathons; Bootcamp,Academia; Times grandes,Docker; IntelliJ,Uso semanalmente,Pesquisa; Impacto,Comunicação; Segurança; Teste/QA,Swift; React; Cloud GCP; Rust,Flexibilidade; Mercado aquecido; Pesquisa
ZO72FJ,2024-01-15 05:17:04,Desenvolvedor Sênior,Dart; Kotlin,Cursos presenciais; Bootcamp; Trabalho/Prática; Mentoria; Livros,Híbrido; Freelancer; Startup,PyCharm; GitLab,Uso para gerar código,Aprender; Pesquisa; Desafio,Mudanças constantes; Débito técnico; Deploy; Escalabilidade,Blockchain; Node.js,Empreender; Boas oportunidades; Ensinar; Impacto social; Crescimento pessoal
